优惠类型,商品编号,首次观测,商品名称,适用性别,季节,初上市价,当前最低价,当前最高价,优惠幅度,优惠开始,优惠结束,有货,商品链接
超值精选,481725,2026-09-14,可机洗针织polo衫/短袖,男装,2026年夏季,199,99,99,50.3%,2026-04-30 00:00,2026-05-07 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069814
超值精选,482313,2026-09-16,运动长裤常规款,男装,2026年春季,199,99,99,50.3%,2026-02-27 08:00,2026-03-05 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000067402
超值精选,482477,2026-09-14,快干防皱衬衫/条纹短袖,男装,2026年夏季,199,99,99,50.3%,2026-05-29 08:00,2026-06-04 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070952
超值精选,482478,2026-09-14,快干防皱衬衫/条纹短袖,男装,2026年夏季,199,99,99,50.3%,2026-05-29 08:00,2026-06-04 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070936
超值精选,482479,2026-09-14,莫代尔混纺开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075342
超值精选,482479,2026-09-14,莫代尔混纺开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,2026-06-22 08:00,2026-06-25 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070119
超值精选,482480,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075319
超值精选,482480,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,2026-06-22 08:00,2026-06-25 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070092
超值精选,482481,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075321
超值精选,482481,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073747
超值精选,482481,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,2026-06-22 08:00,2026-06-25 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070073
超值精选,482483,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075322
超值精选,482483,2026-09-14,莫代尔混纺印花开领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,2026-06-22 08:00,2026-06-25 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070077
超值精选,482485,2026-09-14,棉麻立领衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075900
超值精选,482497,2026-09-14,箱型衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075323
超值精选,482498,2026-09-14,箱型格子衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075337
超值精选,482502,2026-09-14,棉麻衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075901
超值精选,482502,2026-09-14,棉麻衬衫/短袖,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073584
超值精选,482763,2026-09-14,高弹力窄口九分裤/DRY-EX速干,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075596
超值精选,482937,2026-09-14,尼龙休闲短裤,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000076016
超值精选,482942,2026-09-14,工装短裤,男装,2026年夏季,199,99,99,50.3%,2026-07-10 08:00,2026-07-16 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000069632
超值精选,482944,2026-09-14,全棉短裤,男装,2026年夏季,199,99,99,50.3%,2026-06-12 00:00,2026-06-21 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070363
超值精选,484784,2026-09-14,弹力棉质舒适九分裤/休闲裤/起居裤,男装,2026年春季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074351
超值精选,485450,2026-09-14,运动长裤/加长款,男装,2026年春季,199,99,99,50.3%,2026-02-27 08:00,2026-03-05 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070553
超值精选,485495,2026-09-14,高弹力窄口九分裤/DRY-EX速干加长款,男装,2026年夏季,199,99,99,50.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075585
